College,Course,Category,Allotted_Rank_2023,Allotted_Rank_2024
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10211,11605
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,19132,87945
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,100501,123895
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1138,3118
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,14169,17430
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4287,5951
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12124,7173
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,13377,46784
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,34513,42252
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1573,1933
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,10675,8650
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2581,4500
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,13527,17467
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14916,50534
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,46342,95469
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2115,2549
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11626,14909
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3641,5484
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1027,1056
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,2729,3168
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,10320,11529
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),232,212
