College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AB Shetty Memorial Inst. of Dental Sce.,BDS,EWS,,80586,852709,756692,756692
AB Shetty Memorial Inst. of Dental Sce.,BDS,GN,812267,769033,873903,1089085,1089085
AB Shetty Memorial Inst. of Dental Sce.,BDS,OBC,,907423,1022856,838750,838750
AB Shetty Memorial Inst. of Dental Sce.,BDS,SC,,566667,,698248,698248
AB Shetty Memorial Inst. of Dental Sce.,BDS,ST,,880801,,826708,826708
ACS Medical College and Hospital,MBBS,EWS,,612864,,808548,808548
ACS Medical College and Hospital,MBBS,GN,517714,765254,847521,1017390,1017390
ACS Medical College and Hospital,MBBS,OBC,,896223,845969,1017350,1017350
ACS Medical College and Hospital,MBBS,SC,,863470,846522,1016162,1016162
ACS Medical College and Hospital,MBBS,ST,,893566,721918,957508,957508
ACSR Govt Medical College,MBBS,EWS,,13783,16628,17518,17518
ACSR Govt Medical College,MBBS,GN,10248,11266,13231,13322,13322
ACSR Govt Medical College,MBBS,GN PWD,208758,,,,
ACSR Govt Medical College,MBBS,OBC,,13566,15370,16487,16487
ACSR Govt Medical College,MBBS,SC,58513,68179,78769,78973,78973
ACSR Govt Medical College,MBBS,SC PWD,,,,1261284,1261284
ACSR Govt Medical College,MBBS,ST,66606,94005,93006,94251,94251
AGARTALA GOVT. DENTAL COLLEGE,BDS,EWS,,,,26153,26153
AGARTALA GOVT. DENTAL COLLEGE,BDS,GN,,,,21106,21106
AGARTALA GOVT. DENTAL COLLEGE,BDS,OBC,,,,24754,24754
AGARTALA GOVT. DENTAL COLLEGE,BDS,SC,,,,101539,101539
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS,,13537,17357,19569,19569
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS PWD,,,,1169378,1169378
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN,12209,13005,14422,15460,15460
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN PWD,390045,,,886313,886313
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,OBC,,14655,16590,18683,18683
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,OBC PWD,,474304,,,
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC,65017,74848,69450,81588,81588
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC PWD,,,,1377061,1377061
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,ST,85472,97945,115023,127597,127597
AIIMS,MBBS,EWS,215,254,195,214,214
AIIMS,MBBS,EWS PWD,47431,147593,76343,42719,42719
AIIMS,MBBS,GN,51,538,564,374,374
AIIMS,MBBS,GN PWD,3786,3324,18180,18603,18603
AIIMS,MBBS,OBC,218,250,242,186,186
AIIMS,MBBS,OBC PWD,50305,18235,50392,27356,27356
AIIMS,MBBS,SC,1198,875,965,647,647
AIIMS,MBBS,SC PWD,217305,104104,143041,145903,145903
AIIMS,MBBS,ST,2239,4820,3087,1150,1150
AIIMS,MBBS,ST PWD,297280,53879,312320,48798,48798
AIIMS Bathinda,MBBS,EWS ,5227,2783,2776,3603,3603
AIIMS Bathinda,MBBS,EWS PWD,319557,268153,,259018,259018
AIIMS Bathinda,MBBS,GN,3424,2016,1880,1576,1576
AIIMS Bathinda,MBBS,GN PWD,238800,61735,270270,197183,197183
AIIMS Bathinda,MBBS,OBC,4658,2863,2645,2721,2721
AIIMS Bathinda,MBBS,OBC PWD,258343,259108,417797,398725,398725
AIIMS Bathinda,MBBS,SC,30991,23105,26023,16961,16961
AIIMS Bathinda,MBBS,SC PWD,381929,332292,760127,302955,302955
AIIMS Bathinda,MBBS,ST,50118,43789,47441,40833,40833
AIIMS Bathinda,MBBS,ST PWD,419240,680732,,824563,824563
AIIMS Bilaspur Changar Palasiyan,MBBS,EWS ,6498,4525,3995,4012,4012
AIIMS Bilaspur Changar Palasiyan,MBBS,GN,4980,3773,3109,2401,2401
AIIMS Bilaspur Changar Palasiyan,MBBS,GN PWD,217579,169152,372629,203256,203256
AIIMS Bilaspur Changar Palasiyan,MBBS,OBC,5956,4767,4167,3276,3276
AIIMS Bilaspur Changar Palasiyan,MBBS,OBC PWD,298733,,480601,388448,388448
AIIMS Bilaspur Changar Palasiyan,MBBS,SC,32466,31476,32681,23569,23569
AIIMS Bilaspur Changar Palasiyan,MBBS,SC PWD,,,,364418,364418
AIIMS Bilaspur Changar Palasiyan,MBBS,ST,56746,54660,61539,44528,44528
AIIMS Guahawti,MBBS,EWS,7090,6083,6002,5035,5035
AIIMS Guahawti,MBBS,GN,5366,4650,4073,3476,3476
AIIMS Guahawti,MBBS,GN PWD,207715,108712,351572,28828,28828
AIIMS Guahawti,MBBS,OBC,6298,5760,5374,4463,4463
AIIMS Guahawti,MBBS,OBC PWD,292311,214715,483400,349245,349245
AIIMS Guahawti,MBBS,SC,40457,39563,42818,27801,27801
AIIMS Guahawti,MBBS,SC PWD,,426206,841621,611150,611150
AIIMS Guahawti,MBBS,ST,47640,56948,65153,54515,54515
AIIMS Jammu,MBBS,EWS,7401,5940,6046,5197,5197
AIIMS Jammu,MBBS,EWS PWD,,,,411550,411550
AIIMS Jammu,MBBS,GN,6078,4999,4497,3787,3787
