College,Course,Category,Allotted_Rank_2023,Allotted_Rank_2024
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,ESM,30053,24449
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,OPEN,22327,26815
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,OPEN-EWS,30285,38887
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SC,29143,38554
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SEBC,28462,26815
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,ST,30447,38887
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING - TFWS,TFWS,11815,10232
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,ESM,3153,7403
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,OPEN,800,1923
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,OPEN-EWS,1059,4768
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SC,3370,4768
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SEBC,1459,1923
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,ST,17444,15410
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING - TFWS,TFWS,464,528
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,ESM,19817,13896
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,OPEN,12652,19271
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,OPEN-EWS,16753,28226
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SC,22605,28226
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SEBC,19707,19271
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,ST,30201,38771
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING - TFWS,TFWS,5968,3713
