College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AB Shetty Memorial Inst. of Dental Sce.,BDS,EWS,,80586.0,852709.0,756692.0,756692.0
AB Shetty Memorial Inst. of Dental Sce.,BDS,GN,812267.0,769033.0,873903.0,1089085.0,1089085.0
AB Shetty Memorial Inst. of Dental Sce.,BDS,OBC,,907423.0,1022856.0,838750.0,838750.0
AB Shetty Memorial Inst. of Dental Sce.,BDS,SC,,566667.0,,698248.0,698248.0
AB Shetty Memorial Inst. of Dental Sce.,BDS,ST,,880801.0,,826708.0,826708.0
ACS Medical College and Hospital,MBBS,EWS,,612864.0,,808548.0,808548.0
ACS Medical College and Hospital,MBBS,GN,517714.0,765254.0,847521.0,1017390.0,1017390.0
ACS Medical College and Hospital,MBBS,OBC,,896223.0,845969.0,1017350.0,1017350.0
ACS Medical College and Hospital,MBBS,SC,,863470.0,846522.0,1016162.0,1016162.0
ACS Medical College and Hospital,MBBS,ST,,893566.0,721918.0,957508.0,957508.0
ACSR Govt Medical College,MBBS,EWS,,13783.0,16628.0,17518.0,17518.0
ACSR Govt Medical College,MBBS,GN,10248.0,11266.0,13231.0,13322.0,13322.0
ACSR Govt Medical College,MBBS,GN PWD,208758.0,,,,
ACSR Govt Medical College,MBBS,OBC,,13566.0,15370.0,16487.0,16487.0
ACSR Govt Medical College,MBBS,SC,58513.0,68179.0,78769.0,78973.0,78973.0
ACSR Govt Medical College,MBBS,SC PWD,,,,1261284.0,1261284.0
ACSR Govt Medical College,MBBS,ST,66606.0,94005.0,93006.0,94251.0,94251.0
AGARTALA GOVT. DENTAL COLLEGE,BDS,EWS,,,,26153.0,26153.0
AGARTALA GOVT. DENTAL COLLEGE,BDS,GN,,,,21106.0,21106.0
AGARTALA GOVT. DENTAL COLLEGE,BDS,OBC,,,,24754.0,24754.0
AGARTALA GOVT. DENTAL COLLEGE,BDS,SC,,,,101539.0,101539.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS,,13537.0,17357.0,19569.0,19569.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS PWD,,,,1169378.0,1169378.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN,12209.0,13005.0,14422.0,15460.0,15460.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN PWD,390045.0,,,886313.0,886313.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,OBC,,14655.0,16590.0,18683.0,18683.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,OBC PWD,,474304.0,,,
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC,65017.0,74848.0,69450.0,81588.0,81588.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC PWD,,,,1377061.0,1377061.0
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,ST,85472.0,97945.0,115023.0,127597.0,127597.0
AIIMS,MBBS,EWS,215.0,254.0,195.0,214.0,214.0
AIIMS,MBBS,EWS PWD,47431.0,147593.0,76343.0,42719.0,42719.0
AIIMS,MBBS,GN,51.0,538.0,564.0,374.0,374.0
AIIMS,MBBS,GN PWD,3786.0,3324.0,18180.0,18603.0,18603.0
AIIMS,MBBS,OBC,218.0,250.0,242.0,186.0,186.0
AIIMS,MBBS,OBC PWD,50305.0,18235.0,50392.0,27356.0,27356.0
AIIMS,MBBS,SC,1198.0,875.0,965.0,647.0,647.0
AIIMS,MBBS,SC PWD,217305.0,104104.0,143041.0,145903.0,145903.0
AIIMS,MBBS,ST,2239.0,4820.0,3087.0,1150.0,1150.0
AIIMS,MBBS,ST PWD,297280.0,53879.0,312320.0,48798.0,48798.0
AIIMS Bathinda,MBBS,EWS ,5227.0,2783.0,2776.0,3603.0,3603.0
AIIMS Bathinda,MBBS,EWS PWD,319557.0,268153.0,,259018.0,259018.0
AIIMS Bathinda,MBBS,GN,3424.0,2016.0,1880.0,1576.0,1576.0
AIIMS Bathinda,MBBS,GN PWD,238800.0,61735.0,270270.0,197183.0,197183.0
AIIMS Bathinda,MBBS,OBC,4658.0,2863.0,2645.0,2721.0,2721.0
AIIMS Bathinda,MBBS,OBC PWD,258343.0,259108.0,417797.0,398725.0,398725.0
AIIMS Bathinda,MBBS,SC,30991.0,23105.0,26023.0,16961.0,16961.0
AIIMS Bathinda,MBBS,SC PWD,381929.0,332292.0,760127.0,302955.0,302955.0
AIIMS Bathinda,MBBS,ST,50118.0,43789.0,47441.0,40833.0,40833.0
AIIMS Bathinda,MBBS,ST PWD,419240.0,680732.0,,824563.0,824563.0
AIIMS Bilaspur Changar Palasiyan,MBBS,EWS ,6498.0,4525.0,3995.0,4012.0,4012.0
AIIMS Bilaspur Changar Palasiyan,MBBS,GN,4980.0,3773.0,3109.0,2401.0,2401.0
AIIMS Bilaspur Changar Palasiyan,MBBS,GN PWD,217579.0,169152.0,372629.0,203256.0,203256.0
AIIMS Bilaspur Changar Palasiyan,MBBS,OBC,5956.0,4767.0,4167.0,3276.0,3276.0
AIIMS Bilaspur Changar Palasiyan,MBBS,OBC PWD,298733.0,,480601.0,388448.0,388448.0
AIIMS Bilaspur Changar Palasiyan,MBBS,SC,32466.0,31476.0,32681.0,23569.0,23569.0
AIIMS Bilaspur Changar Palasiyan,MBBS,SC PWD,,,,364418.0,364418.0
AIIMS Bilaspur Changar Palasiyan,MBBS,ST,56746.0,54660.0,61539.0,44528.0,44528.0
AIIMS Guahawti,MBBS,EWS,7090.0,6083.0,6002.0,5035.0,5035.0
AIIMS Guahawti,MBBS,GN,5366.0,4650.0,4073.0,3476.0,3476.0
AIIMS Guahawti,MBBS,GN PWD,207715.0,108712.0,351572.0,28828.0,28828.0
AIIMS Guahawti,MBBS,OBC,6298.0,5760.0,5374.0,4463.0,4463.0
AIIMS Guahawti,MBBS,OBC PWD,292311.0,214715.0,483400.0,349245.0,349245.0
