"College","Course","Category","Predicted_Rank_2025"
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","OPEN",61843
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","OPEN-EWS",61843
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","SC",61843
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","SEBC",37997
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","AUTOMOBILE ENGINEERING","OPEN",43898
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","CIVIL ENGINEERING","OPEN",45045
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER ENGINEERING","OPEN",12889
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER ENGINEERING","OPEN-EWS",30222
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER ENGINEERING","SC",30222
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER ENGINEERING","SEBC",12889
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER ENGINEERING","ST",30222
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER SCIENCE & DESIGN","ESM",26086
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER SCIENCE & DESIGN","OPEN",60783
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER SCIENCE & DESIGN","OPEN-EWS",60783
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER SCIENCE & DESIGN","SC",60783
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","COMPUTER SCIENCE & DESIGN","SEBC",45510
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","DAIRY TECHNOLOGY","OPEN",47223
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRICAL ENGINEERING","OPEN",48658
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGG.","OPEN",30156
