College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2023,Allotted_Rank_2024
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12999,10211,11605
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,156758,19132,87945
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,147289,100501,123895
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),5098,1138,3118
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,20691,14169,17430
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7615,4287,5951
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2222,12124,7173
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,80191,13377,46784
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,49991,34513,42252
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2293,1573,1933
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6625,10675,8650
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,6419,2581,4500
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,21407,13527,17467
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,86152,14916,50534
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,144596,46342,95469
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2983,2115,2549
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,18192,11626,14909
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7327,3641,5484
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1085,1027,1056
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,3607,2729,3168
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,12738,10320,11529
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),192,232,212
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,2355,1637,1996
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),34,100,67
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1823,1163,1493
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST (PWD),86,64,75
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,3166,2412,2789
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,9414,11778,10596
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),393,667,530
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15495,15923,15709
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),568,1154,861
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4252,3440,3846
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1538,1804,1671
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",EWS,2671,1831,2251
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL,7058,4416,5737
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL (PWD),843,271,557
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN,14169,11463,12816
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN (PWD),29,1081,555
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",SC,5427,2435,3931
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",ST,2599,1363,1981
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",EWS,2562,2178,2370
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL,7770,5638,6704
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL (PWD),1030,328,679
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OPEN,17381,13403,15392
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",SC,6191,3029,4610
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",ST,3150,1586,2368
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1776,1544,1660
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,5075,4275,4675
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,16258,15856,16057
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1030,408,719
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,3063,2429,2746
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1668,1136,1402
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,17746,13326,15536
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18935,15155,17045
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,43749,41821,42785
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1378,2080,1729
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,22254,12540,17397
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,14875,10717,12796
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2112,17230,9671
