College,Course,Category,Predicted_Rank_2025
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12999
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,156758
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,147289
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),5098
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,20691
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7615
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2222
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,80191
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,49991
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2293
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6625
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,6419
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,21407
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,86152
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,144596
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2983
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,18192
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7327
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1085
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,3607
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,12738
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),192
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,2355
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),34
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1823
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST (PWD),86
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,3166
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,9414
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),393
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15495
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),568
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4252
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1538
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",EWS,2671
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL,7058
