"College","Course","Category","Predicted_Rank_2025"
"AB Shetty Memorial Inst. of Dental Sce.","BDS","EWS",741159.305
"AB Shetty Memorial Inst. of Dental Sce.","BDS","GN",1016162.15
"AB Shetty Memorial Inst. of Dental Sce.","BDS","OBC",846490.655
"AB Shetty Memorial Inst. of Dental Sce.","BDS","SC",712763.355
"AB Shetty Memorial Inst. of Dental Sce.","BDS","ST",767005.465
"ACS Medical College and Hospital","MBBS","EWS",636025.835
"ACS Medical College and Hospital","MBBS","GN",959542.495
"ACS Medical College and Hospital","MBBS","OBC",941923.45
"ACS Medical College and Hospital","MBBS","SC",637739.575
"ACS Medical College and Hospital","MBBS","ST",877018.9
"ACSR Govt Medical College","MBBS","EWS",25718.505
"ACSR Govt Medical College","MBBS","GN",34799.03
"ACSR Govt Medical College","MBBS","OBC",103809.41
"ACSR Govt Medical College","MBBS","SC",112885.515
"ACSR Govt Medical College","MBBS","SC PWD",1221521.915
"ACSR Govt Medical College","MBBS","ST",127656.54
"AGARTALA GOVT. DENTAL COLLEGE","BDS","EWS",40305.975
"AGARTALA GOVT. DENTAL COLLEGE","BDS","GN",61371.905
"AGARTALA GOVT. DENTAL COLLEGE","BDS","OBC",81513.06
"AGARTALA GOVT. DENTAL COLLEGE","BDS","SC",105423.595
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","EWS",17871.815
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","EWS PWD",998013.9
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","GN",13631.815
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","GN PWD",790219.41
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","OBC",22116.715
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","SC",74824.005
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","SC PWD",1228519.805
"AGARTALA GOVT. MEDICAL COLLEGE","MBBS","ST",120224.54
"AIIMS","MBBS","EWS",1493.83
"AIIMS","MBBS","EWS PWD",195697.2
"AIIMS","MBBS","GN",2409.035
"AIIMS","MBBS","GN PWD",132986.365
"AIIMS","MBBS","OBC",2458.18
"AIIMS","MBBS","OBC PWD",70188.34
"AIIMS","MBBS","SC",11188.895
"AIIMS","MBBS","SC PWD",283471.19
"AIIMS","MBBS","ST",7768.47
"AIIMS","MBBS","ST PWD",313899.805
"AIIMS Bathinda","MBBS","EWS ",3298.35
"AIIMS Bathinda","MBBS","EWS PWD",243488.33
"AIIMS Bathinda","MBBS","GN",1597.445
"AIIMS Bathinda","MBBS","GN PWD",78517.89
"AIIMS Bathinda","MBBS","OBC",2747.325
"AIIMS Bathinda","MBBS","OBC PWD",292627.7
"AIIMS Bathinda","MBBS","SC",17233.26
"AIIMS Bathinda","MBBS","SC PWD",298973.26
"AIIMS Bathinda","MBBS","ST",40766.08
"AIIMS Bathinda","MBBS","ST PWD",607248.08
"AIIMS Bilaspur Changar Palasiyan","MBBS","EWS ",4100.24
"AIIMS Bilaspur Changar Palasiyan","MBBS","GN",2391.93
"AIIMS Bilaspur Changar Palasiyan","MBBS","GN PWD",175985.505
"AIIMS Bilaspur Changar Palasiyan","MBBS","OBC",3331.965
"AIIMS Bilaspur Changar Palasiyan","MBBS","OBC PWD",369815.805
"AIIMS Bilaspur Changar Palasiyan","MBBS","SC",23268.095
"AIIMS Bilaspur Changar Palasiyan","MBBS","SC PWD",375201.03
"AIIMS Bilaspur Changar Palasiyan","MBBS","ST",44712.6
"AIIMS Guahawti","MBBS","EWS",4947.475
"AIIMS Guahawti","MBBS","GN",3359.515
"AIIMS Guahawti","MBBS","GN PWD",61009.855
"AIIMS Guahawti","MBBS","OBC",4266.815
"AIIMS Guahawti","MBBS","OBC PWD",357225.435
"AIIMS Guahawti","MBBS","SC",24379.275
"AIIMS Guahawti","MBBS","SC PWD",576928.535
"AIIMS Guahawti","MBBS","ST",52491.82
"AIIMS Jammu","MBBS","EWS",5080.8
"AIIMS Jammu","MBBS","EWS PWD",327792.66
"AIIMS Jammu","MBBS","GN",3687.835
"AIIMS Jammu","MBBS","GN PWD",236971.575
"AIIMS Jammu","MBBS","OBC",4497.38
"AIIMS Jammu","MBBS","OBC PWD",385734.695
"AIIMS Jammu","MBBS","SC",28267.1
"AIIMS Jammu","MBBS","SC PWD",579694.78
"AIIMS Jammu","MBBS","ST",42753.49
"AIIMS Jammu","MBBS","ST PWD",437147.105
"AIIMS Mangalagiri","MBBS","EWS",3448.87
"AIIMS Mangalagiri","MBBS","GN",1959.24
"AIIMS Mangalagiri","MBBS","GN PWD",185867.75
"AIIMS Mangalagiri","MBBS","OBC",3358.2
"AIIMS Mangalagiri","MBBS","OBC PWD",326584.76
"AIIMS Mangalagiri","MBBS","SC",23203.86
"AIIMS Mangalagiri","MBBS","ST",41556.83
"AIIMS Mangalagiri","MBBS","ST PWD",418491.455
"AIIMS Rajkot","MBBS","EWS",2877.43
"AIIMS Rajkot","MBBS","GN",1929.845
"AIIMS Rajkot","MBBS","GN PWD",128307.145
"AIIMS Rajkot","MBBS","OBC",3157.39
"AIIMS Rajkot","MBBS","OBC PWD",324277.21
"AIIMS Rajkot","MBBS","SC",23072.795
"AIIMS Rajkot","MBBS","ST",36492.22
"AIIMS-Bhopal","MBBS","EWS",1114.795
"AIIMS-Bhopal","MBBS","EWS PWD",179015.55
"AIIMS-Bhopal","MBBS","GN",958.42
"AIIMS-Bhopal","MBBS","GN PWD",109592.4
"AIIMS-Bhopal","MBBS","OBC",5094.495
"AIIMS-Bhopal","MBBS","OBC PWD",147866.125
"AIIMS-Bhopal","MBBS","SC",24039.82
"AIIMS-Bhopal","MBBS","SC PWD",350942.385
"AIIMS-Bhopal","MBBS","ST",33917
"AIIMS-Bhopal","MBBS","ST PWD",441370.17
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","EWS",11802.145
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","GN",13463.705
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","OBC",11260.595
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","OBC PWD",430484.06
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","SC",57083.055
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE","MBBS","ST",90016.175
"ASSAM MEDICAL COLLEGE","MBBS","EWS",15762.475
"ASSAM MEDICAL COLLEGE","MBBS","GN",21037.43
"ASSAM MEDICAL COLLEGE","MBBS","GN PWD",611933.75
"ASSAM MEDICAL COLLEGE","MBBS","OBC",14452.585
"ASSAM MEDICAL COLLEGE","MBBS","SC",87085.905
"ASSAM MEDICAL COLLEGE","MBBS","ST",91777.765
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","EWS",12634.11
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","GN",59962.78
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","GN PWD",488134.975
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","OBC",26491.715
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","SC",76886.48
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE","MBBS","ST",74343.115
"Aarupadai Veedu Medical College and Hospt.","MBBS","EWS",826132.32
"Aarupadai Veedu Medical College and Hospt.","MBBS","GN",1003845.375
"Aarupadai Veedu Medical College and Hospt.","MBBS","OBC",866314.03
"Aarupadai Veedu Medical College and Hospt.","MBBS","SC",759831.165
"Aarupadai Veedu Medical College and Hospt.","MBBS","ST",889265.525
"Amrita Institute of Medical Science","MBBS","GN",1037630.215
"Amrita Institute of Medical Science","MBBS","OBC",414410.345
"Amrita Institute of Medical Science","MBBS","SC",306410.665
"Amrita Institute of Medical Science","MBBS","ST",599589.48
"Amrita School of Dentistry","BDS","EWS",622555.725
"Amrita School of Dentistry","BDS","GN",710019.545
"Amrita School of Dentistry","BDS","OBC",709017.585
"Amrita School of Dentistry","BDS","SC",547253.615
"Amrita School of Medicine Faridabad","MBBS","EWS",120090.295
"Amrita School of Medicine Faridabad","MBBS","GN",1010071.085
"Amrita School of Medicine Faridabad","MBBS","GN PWD",265886
"Amrita School of Medicine Faridabad","MBBS","OBC",1132685.635
"Amrita School of Medicine Faridabad","MBBS","ST",168364.305
"Andaman and Nicobar Islands Institute of Medical S","MBBS","EWS",49581.01
"Andaman and Nicobar Islands Institute of Medical S","MBBS","GN",197784.08
"Andaman and Nicobar Islands Institute of Medical S","MBBS","OBC",97518.325
"Andaman and Nicobar Islands Institute of Medical S","MBBS","OBC PWD",816108.41
"Andaman and Nicobar Islands Institute of Medical S","MBBS","SC",81669.54
"Andaman and Nicobar Islands Institute of Medical S","MBBS","ST",102572.365
"Andhra Medical College","MBBS","EWS",14384.54
"Andhra Medical College","MBBS","GN",94070.04
"Andhra Medical College","MBBS","GN PWD",290688.145
"Andhra Medical College","MBBS","OBC",14220.415
"Andhra Medical College","MBBS","OBC PWD",646044.88
"Andhra Medical College","MBBS","SC",50812.91
"Andhra Medical College","MBBS","SC PWD",700351.565
"Andhra Medical College","MBBS","ST",78833.34
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","EWS",9325.445
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","GN",189576.62
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","GN PWD",529570.825
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","OBC",10026.56
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","SC",55108.76
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","ST",124601.845
"Autonomous State Medical Collage","MBBS","EWS",13923.29
"Autonomous State Medical Collage","MBBS","GN",123601.57
"Autonomous State Medical Collage","MBBS","OBC",14142.615
"Autonomous State Medical Collage","MBBS","SC",56668.46
"Autonomous State Medical Collage","MBBS","ST",106983.015
"Autonomous State Medical College","MBBS","EWS",13280.725
"Autonomous State Medical College","MBBS","EWS PWD",867496.88
