College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AB Shetty Memorial Inst. of Dental Sce.,BDS,EWS,741159.305,,80586,852709,756692,756692
AB Shetty Memorial Inst. of Dental Sce.,BDS,GN,1016162.15,812267,769033,873903,1089085,1089085
AB Shetty Memorial Inst. of Dental Sce.,BDS,OBC,846490.655,,907423,1022856,838750,838750
AB Shetty Memorial Inst. of Dental Sce.,BDS,SC,712763.355,,566667,,698248,698248
AB Shetty Memorial Inst. of Dental Sce.,BDS,ST,767005.465,,880801,,826708,826708
ACS Medical College and Hospital,MBBS,EWS,636025.835,,612864,,808548,808548
ACS Medical College and Hospital,MBBS,GN,959542.495,517714,765254,847521,1017390,1017390
ACS Medical College and Hospital,MBBS,OBC,941923.45,,896223,845969,1017350,1017350
ACS Medical College and Hospital,MBBS,SC,637739.575,,863470,846522,1016162,1016162
ACS Medical College and Hospital,MBBS,ST,877018.9,,893566,721918,957508,957508
ACSR Govt Medical College,MBBS,EWS,25718.505,,13783,16628,17518,17518
ACSR Govt Medical College,MBBS,GN,34799.03,10248,11266,13231,13322,13322
ACSR Govt Medical College,MBBS,OBC,103809.41,,13566,15370,16487,16487
ACSR Govt Medical College,MBBS,SC,112885.515,58513,68179,78769,78973,78973
ACSR Govt Medical College,MBBS,SC PWD,1221521.915,,,,1261284,1261284
ACSR Govt Medical College,MBBS,ST,127656.54,66606,94005,93006,94251,94251
AGARTALA GOVT. DENTAL COLLEGE,BDS,EWS,40305.975,,,,26153,26153
AGARTALA GOVT. DENTAL COLLEGE,BDS,GN,61371.905,,,,21106,21106
AGARTALA GOVT. DENTAL COLLEGE,BDS,OBC,81513.06,,,,24754,24754
AGARTALA GOVT. DENTAL COLLEGE,BDS,SC,105423.595,,,,101539,101539
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS,17871.815,,13537,17357,19569,19569
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,EWS PWD,998013.9,,,,1169378,1169378
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN,13631.815,12209,13005,14422,15460,15460
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,GN PWD,790219.41,390045,,,886313,886313
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,OBC,22116.715,,14655,16590,18683,18683
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC,74824.005,65017,74848,69450,81588,81588
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,SC PWD,1228519.805,,,,1377061,1377061
AGARTALA GOVT. MEDICAL COLLEGE,MBBS,ST,120224.54,85472,97945,115023,127597,127597
AIIMS,MBBS,EWS,1493.83,215,254,195,214,214
AIIMS,MBBS,EWS PWD,195697.2,47431,147593,76343,42719,42719
AIIMS,MBBS,GN,2409.035,51,538,564,374,374
AIIMS,MBBS,GN PWD,132986.365,3786,3324,18180,18603,18603
AIIMS,MBBS,OBC,2458.18,218,250,242,186,186
AIIMS,MBBS,OBC PWD,70188.34,50305,18235,50392,27356,27356
AIIMS,MBBS,SC,11188.895,1198,875,965,647,647
AIIMS,MBBS,SC PWD,283471.19,217305,104104,143041,145903,145903
AIIMS,MBBS,ST,7768.47,2239,4820,3087,1150,1150
